no,word,sign,kind,type,meaning,model
0,attractive,JJ,adjective,quality,,"
"
1,bald,JJ,adjective,quality,,
2,beautiful,JJ,adjective,quality,,
3,chubby,JJ,adjective,quality,,
4,clean,JJ,adjective,quality,,
5,dazzling,JJ,adjective,quality,,
6,drab,JJ,adjective,quality,,
7,elegant,JJ,adjective,quality,,
8,fancy,JJ,adjective,quality,,
9,fit,JJ,adjective,quality,,
10,flabby,JJ,adjective,quality,,
11,glamorous,JJ,adjective,quality,,
12,gorgeous,JJ,adjective,quality,,
13,handsome,JJ,adjective,quality,,
14,long,JJ,adjective,quality,,
15,magnificent,JJ,adjective,quality,,
16,muscular,JJ,adjective,quality,,
17,plain,JJ,adjective,quality,,
18,plump,JJ,adjective,quality,,
19,quaint,JJ,adjective,quality,,
20,scruffy,JJ,adjective,quality,,
21,shapely,JJ,adjective,quality,,
22,short,JJ,adjective,quality,,
23,skinny,JJ,adjective,quality,,
24,stocky,JJ,adjective,quality,,
25,ugly,JJ,adjective,quality,,
26,unkempt,JJ,adjective,quality,,
27,unsightly,JJ,adjective,quality,,
28,alive,JJ,adjective,quality,,
29,better,JJ,adjective,quality,,
30,careful,JJ,adjective,quality,,
31,clever,JJ,adjective,quality,,
32,dead,JJ,adjective,quality,,
33,easy,JJ,adjective,quality,,
34,famous,JJ,adjective,quality,,
35,gifted,JJ,adjective,quality,,
36,hallowed,JJ,adjective,quality,,
37,helpful,JJ,adjective,quality,,
38,important,JJ,adjective,quality,,
39,inexpensive,JJ,adjective,quality,,
40,mealy,JJ,adjective,quality,,
41,mushy,JJ,adjective,quality,,
42,odd,JJ,adjective,quality,,
43,poor,JJ,adjective,quality,,
44,powerful,JJ,adjective,quality,,
45,rich,JJ,adjective,quality,,
46,shy,JJ,adjective,quality,,
47,tender,JJ,adjective,quality,,
48,unimportant,JJ,adjective,quality,,
49,uninterested,JJ,adjective,quality,,
50,vast,JJ,adjective,quality,,
51,wrong,JJ,adjective,quality,,
52,aggressive,JJ,adjective,quality,,
53,agreeable,JJ,adjective,quality,,
54,ambitious,JJ,adjective,quality,,
55,brave,JJ,adjective,quality,,
56,calm,JJ,adjective,quality,,
57,delightful,JJ,adjective,quality,,
58,eager,JJ,adjective,quality,,
59,faithful,JJ,adjective,quality,,
60,gentle,JJ,adjective,quality,,
61,happy,JJ,adjective,quality,,
62,jolly,JJ,adjective,quality,,
63,kind,JJ,adjective,quality,,
64,lively,JJ,adjective,quality,,
65,nice,JJ,adjective,quality,,
66,obedient,JJ,adjective,quality,,
67,polite,JJ,adjective,quality,,
68,proud,JJ,adjective,quality,,
69,silly,JJ,adjective,quality,,
70,thankful,JJ,adjective,quality,,
71,victorious,JJ,adjective,quality,,
72,witty,JJ,adjective,quality,,
73,wonderful,JJ,adjective,quality,,
74,zealous,JJ,adjective,quality,,
75,angry,JJ,adjective,quality,,
76,bewildered,JJ,adjective,quality,,
77,clumsy,JJ,adjective,quality,,
78,defeated,JJ,adjective,quality,,
79,embarrassed,JJ,adjective,quality,,
80,fierce,JJ,adjective,quality,,
81,grumpy,JJ,adjective,quality,,
82,helpless,JJ,adjective,quality,,
83,itchy,JJ,adjective,quality,,
84,jealous,JJ,adjective,quality,,
85,lazy,JJ,adjective,quality,,
86,mysterious,JJ,adjective,quality,,
87,nervous,JJ,adjective,quality,,
88,obnoxious,JJ,adjective,quality,,
89,panicky,JJ,adjective,quality,,
90,pitiful,JJ,adjective,quality,,
91,repulsive,JJ,adjective,quality,,
92,scary,JJ,adjective,quality,,
93,thoughtless,JJ,adjective,quality,,
94,uptight,JJ,adjective,quality,,
95,worried,JJ,adjective,quality,,
96,broad,JJ,adjective,shape,,
97,chubby,JJ,adjective,shape,,
98,crooked,JJ,adjective,shape,,
99,curved,JJ,adjective,shape,,
100,deep,JJ,adjective,shape,,
101,flat,JJ,adjective,shape,,
102,high,JJ,adjective,shape,,
103,hollow,JJ,adjective,shape,,
104,low,JJ,adjective,shape,,
105,narrow,JJ,adjective,shape,,
106,refined,JJ,adjective,shape,,
107,round,JJ,adjective,shape,,
108,shallow,JJ,adjective,shape,,
109,skinny,JJ,adjective,shape,,
110,square,JJ,adjective,shape,,
111,steep,JJ,adjective,shape,,
112,straight,JJ,adjective,shape,,
113,wide,JJ,adjective,shape,,
114,ashy,JJ,adjective,color,,
115,black,JJ,adjective,color,,
116,blue,JJ,adjective,color,,
117,gray,JJ,adjective,color,,
118,green,JJ,adjective,color,,
119,icy,JJ,adjective,color,,
120,lemon,JJ,adjective,color,,
121,mango,JJ,adjective,color,,
122,orange,JJ,adjective,color,,
123,purple,JJ,adjective,color,,
124,red,JJ,adjective,color,,
125,salmon,JJ,adjective,color,,
126,white,JJ,adjective,color,,
127,yellow,JJ,adjective,color,,
128,big,JJ,adjective,size,,
129,colossal,JJ,adjective,size,,
130,fat,JJ,adjective,size,,
131,gigantic,JJ,adjective,size,,
132,great,JJ,adjective,size,,
133,huge,JJ,adjective,size,,
134,immense,JJ,adjective,size,,
135,large,JJ,adjective,size,,
136,little,JJ,adjective,size,,
137,mammoth,JJ,adjective,size,,
138,massive,JJ,adjective,size,,
139,microscopic,JJ,adjective,size,,
140,miniature,JJ,adjective,size,,
141,petite,JJ,adjective,size,,
142,puny,JJ,adjective,size,,
143,scrawny,JJ,adjective,size,,
144,short,JJ,adjective,size,,
145,small,JJ,adjective,size,,
146,tall,JJ,adjective,size,,
147,teeny,JJ,adjective,size,,
148,tiny,JJ,adjective,size,,
149,crashing,JJ,adjective,quality,,
150,deafening,JJ,adjective,quality,,
151,echoing,JJ,adjective,quality,,
152,faint,JJ,adjective,quality,,
153,harsh,JJ,adjective,quality,,
154,hissing,JJ,adjective,quality,,
155,howling,JJ,adjective,quality,,
156,loud,JJ,adjective,quality,,
157,melodic,JJ,adjective,quality,,
158,noisy,JJ,adjective,quality,,
159,purring,JJ,adjective,quality,,
160,quiet,JJ,adjective,quality,,
161,rapping,JJ,adjective,quality,,
162,raspy,JJ,adjective,quality,,
163,rhythmic,JJ,adjective,quality,,
164,screeching,JJ,adjective,quality,,
165,shrilling,JJ,adjective,quality,,
166,squeaking,JJ,adjective,quality,,
167,thundering,JJ,adjective,quality,,
168,tinkling,JJ,adjective,quality,,
169,wailing,JJ,adjective,quality,,
170,whining,JJ,adjective,quality,,
171,whispering,JJ,adjective,quality,,
172,ancient,JJ,adjective,age,,
173,brief,JJ,adjective,age,,
174,early,JJ,adjective,age,,
175,fast,JJ,adjective,age,,
176,future,JJ,adjective,age,,
177,late,JJ,adjective,age,,
178,long,JJ,adjective,age,,
179,modern,JJ,adjective,age,,
180,old,JJ,adjective,age,,
181,old-fashioned,JJ,adjective,age,,
182,prehistoric,JJ,adjective,age,,
183,quick,JJ,adjective,age,,
184,rapid,JJ,adjective,age,,
185,short,JJ,adjective,age,,
186,slow,JJ,adjective,age,,
187,swift,JJ,adjective,age,,
188,young,JJ,adjective,age,,
189,acidic,JJ,adjective,quality,,
190,bitter,JJ,adjective,quality,,
191,cool,JJ,adjective,quality,,
192,creamy,JJ,adjective,quality,,
193,delicious,JJ,adjective,quality,,
194,disgusting,JJ,adjective,quality,,
195,fresh,JJ,adjective,quality,,
196,greasy,JJ,adjective,quality,,
197,juicy,JJ,adjective,quality,,
198,hot,JJ,adjective,quality,,
199,moldy,JJ,adjective,quality,,
200,nutritious,JJ,adjective,quality,,
201,nutty,JJ,adjective,quality,,
202,putrid,JJ,adjective,quality,,
203,rancid,JJ,adjective,quality,,
204,ripe,JJ,adjective,quality,,
205,rotten,JJ,adjective,quality,,
206,salty,JJ,adjective,quality,,
207,savory,JJ,adjective,quality,,
208,sour,JJ,adjective,quality,,
209,spicy,JJ,adjective,quality,,
210,spoiled,JJ,adjective,quality,,
211,stale,JJ,adjective,quality,,
212,sweet,JJ,adjective,quality,,
213,tangy,JJ,adjective,quality,,
214,tart,JJ,adjective,quality,,
215,tasteless,JJ,adjective,quality,,
216,tasty,JJ,adjective,quality,,
217,yummy,JJ,adjective,quality,,
218,breezy,JJ,adjective,proper_adjective,,
219,bumpy,JJ,adjective,proper_adjective,,
220,chilly,JJ,adjective,proper_adjective,,
221,cold,JJ,adjective,proper_adjective,,
